NO	PROVINSI	JUMLAH_ANGGOTA						
1	ACEH	13						
2	SUMATERA UTARA	30						
3	SUMATERA BARAT	14						
4	RIAU	13						
5	JAMBI	8						
6	SUMATERA SELATAN	17						
7	BENGKULU	4						
8	LAMPUNG	20						
9	KEP. BANGKA BELITUNG	3						
10	KEPULAUAN RIAU	4						
11	DKI JAKARTA	21						
12	JAWA BARAT	91						
13	JAWA TENGAH	77						
14	DI YOGYAKARTA	8						
15	JAWA TIMUR	87						
16	BANTEN	22						
17	BALI	9						
18	NUSA TENGGARA BARAT	11						
19	NUSA TENGGARA TIMUR	13						
20	KALIMANTAN BARAT	12						
21	KALIMANTAN TENGAH	6						
22	KALIMANTAN SELATAN	11						
23	KALIMANTAN TIMUR	8						
24	KALIMANTAN UTARA	3						
25	SULAWESI UTARA	6						
26	SULAWESI TENGAH	7						
27	SULAWESI SELATAN	24						
28	SULAWESI TENGGARA	6						
29	GORONTALO	3						
30	SULAWESI BARAT	4						
31	MALUKU	4						
32	MALUKU UTARA	3						
33	PAPUA	10						
34	PAPUA BARAT	3
