ANGGOTA	PROVINSI	PARTAI
1	1	5
2	1	3
3	1	2
4	1	7
5	1	9
6	1	8
7	1	6
8	1	5
9	1	3
10	1	2
11	1	7
12	1	9
13	1	6
14	2	3
15	2	3
16	2	1
17	2	1
18	2	2
19	2	4
20	2	7
21	2	7
22	2	8
23	2	6
24	2	5
25	2	3
26	2	1
27	2	1
28	2	2
29	2	4
30	2	4
31	2	7
32	2	8
33	2	6
34	2	3
35	2	1
36	2	1
37	2	1
38	2	2
39	2	2
40	2	4
41	2	7
42	2	8
43	2	6
44	3	3
45	3	3
46	3	2
47	3	4
48	3	7
49	3	8
50	3	8
51	3	6
52	3	3
53	3	2
54	3	7
55	3	9
56	3	8
57	3	6
58	4	3
59	4	1
60	4	2
61	4	7
62	4	9
63	4	8
64	4	6
65	4	5
66	4	3
67	4	1
68	4	2
69	4	7
70	4	6
71	5	5
72	5	3
73	5	1
74	5	2
75	5	2
76	5	4
77	5	8
78	5	6
79	6	3
80	6	3
81	6	1
82	6	2
83	6	4
84	6	7
85	6	8
86	6	6
87	6	5
88	6	3
89	6	1
90	6	2
91	6	2
92	6	4
93	6	4
94	6	8
95	6	6
96	7	3
97	7	1
98	7	2
99	7	8
100	8	5
101	8	3
102	8	1
103	8	1
104	8	1
105	8	2
106	8	4
107	8	7
108	8	8
109	8	6
110	8	5
111	8	3
112	8	1
113	8	1
114	8	2
115	8	2
116	8	4
117	8	7
118	8	8
119	8	6
120	9	1
121	9	2
122	9	4
123	10	1
124	10	2
125	10	4
126	10	8
127	11	3
128	11	1
129	11	1
130	11	7
131	11	7
132	11	8
133	11	3
134	11	1
135	11	1
136	11	2
137	11	7
138	11	7
139	11	6
140	11	3
141	11	1
142	11	1
143	11	1
144	11	4
145	11	7
146	11	8
147	11	6
148	12	3
149	12	1
150	12	2
151	12	4
152	12	7
153	12	7
154	12	6
155	12	5
156	12	3
157	12	3
158	12	1
159	12	2
160	12	2
161	12	4
162	12	7
163	12	8
164	12	6
165	12	5
166	12	3
167	12	3
168	12	1
169	12	2
170	12	4
171	12	7
172	12	8
173	12	6
174	12	3
175	12	1
176	12	2
177	12	7
178	12	8
179	12	6
180	12	5
181	12	3
182	12	3
183	12	1
184	12	2
185	12	7
186	12	9
187	12	8
188	12	6
189	12	3
190	12	1
191	12	2
192	12	7
193	12	7
194	12	8
195	12	5
196	12	3
197	12	3
198	12	1
199	12	2
200	12	2
201	12	4
202	12	7
203	12	8
204	12	6
205	12	5
206	12	3
207	12	1
208	12	1
209	12	2
210	12	2
211	12	4
212	12	7
213	12	6
214	12	5
215	12	3
216	12	1
217	12	1
218	12	2
219	12	7
220	12	8
221	12	6
222	12	5
223	12	3
224	12	1
225	12	2
226	12	7
227	12	9
228	12	6
229	12	5
230	12	3
231	12	3
232	12	3
233	12	1
234	12	2
235	12	7
236	12	9
237	12	8
238	12	6
239	13	5
240	13	3
241	13	1
242	13	1
243	13	2
244	13	4
245	13	7
246	13	6
247	13	5
248	13	3
249	13	1
250	13	1
251	13	2
252	13	4
253	13	9
254	13	5
255	13	3
256	13	1
257	13	1
258	13	1
259	13	2
260	13	4
261	13	9
262	13	6
263	13	5
264	13	1
265	13	1
266	13	1
267	13	1
268	13	2
269	13	7
270	13	5
271	13	1
272	13	1
273	13	1
274	13	1
275	13	2
276	13	4
277	13	7
278	13	5
279	13	5
280	13	3
281	13	1
282	13	1
283	13	2
284	13	9
285	13	6
286	13	5
287	13	3
288	13	1
289	13	1
290	13	2
291	13	7
292	13	6
293	13	5
294	13	3
295	13	1
296	13	1
297	13	2
298	13	2
299	13	4
300	13	6
301	13	5
302	13	5
303	13	3
304	13	1
305	13	1
306	13	1
307	13	2
308	13	7
309	13	5
310	13	5
311	13	3
312	13	1
313	13	1
314	13	2
315	13	9
316	14	5
317	14	3
318	14	1
319	14	1
320	14	2
321	14	4
322	14	7
323	14	8
324	15	5
325	15	5
326	15	3
327	15	1
328	15	1
329	15	1
330	15	2
331	15	7
332	15	8
333	15	6
334	15	5
335	15	5
336	15	3
337	15	1
338	15	2
339	15	4
340	15	4
341	15	5
342	15	5
343	15	3
344	15	1
345	15	2
346	15	4
347	15	9
348	15	5
349	15	5
350	15	3
351	15	1
352	15	1
353	15	2
354	15	4
355	15	7
356	15	5
357	15	5
358	15	3
359	15	1
360	15	1
361	15	1
362	15	2
363	15	4
364	15	5
365	15	5
366	15	3
367	15	1
368	15	1
369	15	1
370	15	2
371	15	4
372	15	8
373	15	5
374	15	3
375	15	1
376	15	1
377	15	2
378	15	4
379	15	6
380	15	6
381	15	5
382	15	5
383	15	3
384	15	1
385	15	1
386	15	2
387	15	4
388	15	9
389	15	8
390	15	6
391	15	5
392	15	5
393	15	3
394	15	1
395	15	2
396	15	6
397	15	5
398	15	3
399	15	1
400	15	2
401	15	8
402	15	6
403	15	5
404	15	3
405	15	1
406	15	2
407	15	4
408	15	9
409	15	8
410	15	6
411	16	3
412	16	1
413	16	2
414	16	7
415	16	9
416	16	6
417	16	3
418	16	1
419	16	2
420	16	7
421	16	8
422	16	6
423	16	5
424	16	3
425	16	3
426	16	1
427	16	1
428	16	1
429	16	2
430	16	7
431	16	8
432	16	6
433	17	1
434	17	1
435	17	1
436	17	1
437	17	1
438	17	1
439	17	2
440	17	2
441	17	6
442	18	3
443	18	7
444	18	8
445	18	5
446	18	3
447	18	1
448	18	2
449	18	4
450	18	7
451	18	9
452	18	6
453	19	5
454	19	1
455	19	2
456	19	4
457	19	8
458	19	6
459	19	5
460	19	1
461	19	1
462	19	2
463	19	4
464	19	4
465	19	6
466	20	5
467	20	3
468	20	1
469	20	1
470	20	2
471	20	4
472	20	7
473	20	8
474	20	1
475	20	1
476	20	2
477	20	4
478	21	3
479	21	1
480	21	1
481	21	2
482	21	4
483	21	6
484	22	3
485	22	1
486	22	2
487	22	7
488	22	9
489	22	8
490	22	5
491	22	3
492	22	1
493	22	1
494	22	2
495	23	3
496	23	1
497	23	1
498	23	2
499	23	2
500	23	4
501	23	7
502	23	6
503	24	1
504	24	4
505	24	6
506	25	1
507	25	1
508	25	1
509	25	2
510	25	4
511	25	4
512	26	3
513	26	1
514	26	2
515	26	4
516	26	7
517	26	8
518	26	6
519	27	5
520	27	3
521	27	1
522	27	2
523	27	4
524	27	9
525	27	8
526	27	6
527	27	5
528	27	3
529	27	1
530	27	2
531	27	2
532	27	4
533	27	7
534	27	9
535	27	8
536	27	3
537	27	1
538	27	2
539	27	4
540	27	4
541	27	8
542	27	6
543	28	3
544	28	1
545	28	2
546	28	4
547	28	8
548	28	6
549	29	3
550	29	2
551	29	4
552	30	3
553	30	1
554	30	4
555	30	6
556	31	3
557	31	1
558	31	4
559	31	7
560	32	1
561	32	2
562	32	4
563	33	5
564	33	3
565	33	1
566	33	2
567	33	4
568	33	4
569	33	4
570	33	8
571	33	8
572	33	6
573	34	1
574	34	2
575	34	4
